################################################################################
IN SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
IN SEQ: 	 b'will there be a tony awards 2020 ?'
GOLD SEQ: 	 b'will there be a tony awards 2020 ?'
PRED SEQ:	 b'will there be a tony awards 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15564223, 0.024680294, 0.10925167, 0.027351284, 0.011210836, 0.014170574, 0.12856926, 0.16397041]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"did the washington dc law enforcement treat the black lives matter ( b ##lm ) protest in 2020 differently than the trump supporter ' s riot in 2021 ?"
GOLD SEQ: 	 b"did the washington dc law enforcement treat the black lives matter ( b ##lm ) protest in 2020 differently than the trump supporter ' s riot in 2021 ?"
PRED SEQ:	 b"did the washington dc law enforcement treat the black lives matter ( b ##lm ) protest in 2020 differently than the trump supporter ' s riot in 2021 ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0053475657, 0.0040007625, 6.59205e-05, 1.2309885e-05, 3.8042148e-05, 0.00012617234, 0.20515236, 5.9631995e-05, 2.750446e-05, 7.2259136e-06, 1.7565935e-05, 3.1882462e-06, 2.1363217e-05, 2.7586682e-05, 2.8108668e-06, 0.007407862, 1.9774236e-05, 0.00034888618, 0.035424877, 0.0003900227, 0.0013457277, 0.0007510658, 0.0050892667, 1.6515083e-05, 0.00013959454, 0.67190105, 3.9041268e-05, 2.6680538e-05, 0.0013286619]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what inspired vice president kamal ##a harris to get into politics ?'
GOLD SEQ: 	 b'what inspired vice president kamal ##a harris to get into politics ?'
PRED SEQ:	 b'what he considered vice president kamal ##a harris to get into politics ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.033152413, 0.8823125, 0.0005411077, 0.00012219347, 2.5682026e-05, 1.5335609e-05, 1.9456775e-05, 0.00017704979, 0.0023750395, 0.00015219534, 0.0005524005, 0.002942804]
GOLD TOK: 	 []
PRED TOK: 	 [['he', 'considered']]
################################################################################
IN SEQ: 	 b"what is the goal and expected outcome of the go ##p - led audit of arizona ' s 2020 election results ?"
GOLD SEQ: 	 b"what is the goal and expected outcome of the go ##p - led audit of arizona ' s 2020 election results ?"
PRED SEQ:	 b"what is the goal and expected outcome of the go ##p audit of arizona ' s 2020 election results ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.018576862, 0.0017557557, 0.00019838479, 0.0003479306, 0.00017499979, 0.038383912, 0.0004127493, 6.590188e-06, 0.0008729483, 0.20745003, 0.77266794, 0.9065357, 0.9233489, 0.02797042, 5.349418e-06, 0.00018338948, 3.4391846e-06, 4.588258e-06, 0.000101915255, 2.2650569e-05, 1.3365553e-05, 0.0025585855]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what are the implications of charlie chester , a technical director at cnn admitting during a fake tin ##der date that his network produced propaganda to ou ##st former president donald trump during the 2020 presidential election ?'
GOLD SEQ: 	 b'what are the implications of charlie chester , a technical director at cnn admitting during a fake tin ##der date that his network produced propaganda to ou ##st former president donald trump during the 2020 presidential election ?'
PRED SEQ:	 b'what are the implications of charlie chester , a technical director at cnn admitting during a fake tin ##der date that his network produced to ou ##st former president donald trump during the 2020 presidential election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0010425667, 0.0007202475, 0.00025505116, 0.0006492993, 1.7146169e-05, 2.0160125e-05, 1.3064388e-05, 3.5275782e-06, 3.0217687e-05, 0.00012043998, 1.4604298e-05, 4.575237e-06, 2.3510518e-05, 0.089552715, 0.0003482973, 0.00025735956, 0.06514753, 0.011128235, 0.0016365804, 0.00035701387, 1.5928688e-05, 3.128683e-05, 7.227598e-05, 0.017805541, 0.5083729, 0.00036420932, 0.008465072, 0.0020101557, 0.00043054722, 2.6759839e-05, 4.8505112e-06, 3.5404628e-06, 2.3754006e-05, 2.5756366e-05, 4.391952e-05, 2.4008441e-05, 1.6852184e-05, 7.115573e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what would change bringing st ##adia to the 2020 chrome ##cast ?'
GOLD SEQ: 	 b'what would change bringing st ##adia to the 2020 chrome ##cast ?'
PRED SEQ:	 b'what they claim to change bringing st ##adia to the 2020 chrome ##cast ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13866733, 0.32032496, 0.20526567, 0.04408757, 0.0049520745, 0.012096152, 5.5846776e-05, 0.0015555152, 0.014197972, 0.035202622, 0.018003298, 0.05317489]
GOLD TOK: 	 []
PRED TOK: 	 [['they', 'claim', 'to']]
################################################################################
IN SEQ: 	 b'how can trump supporters continue supporting the big lie about election fraud , in the face of a complete lack of evidence and statements like this ?'
GOLD SEQ: 	 b'how can trump supporters continue supporting the big lie about election fraud , in the face of a complete lack of evidence and statements like this ?'
PRED SEQ:	 b'how can trump supporters continue supporting the big lie about election fraud , in the face of a lack of evidence and statements like this ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.027776828, 0.005563001, 0.0029270144, 0.0041621546, 0.004884247, 0.017876185, 0.029154474, 0.2642304, 0.018376175, 0.00052657846, 8.3811385e-05, 0.00047556797, 2.4565303e-05, 4.794373e-05, 9.423827e-06, 0.0020860655, 2.1082824e-05, 0.014253105, 0.36643174, 2.6236514e-05, 3.693494e-06, 1.2021611e-05, 1.529199e-05, 8.1491344e-05, 0.00011637588, 0.00024273359, 0.0011585014]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'democratic polls ##ters acknowledge major errors in 2020 polling .'
GOLD SEQ: 	 b'democratic polls ##ters acknowledge major errors in 2020 polling .'
PRED SEQ:	 b'democratic polls ##ters alleged against major errors in 2020 polling .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.000764516, 9.634814e-05, 0.00084068946, 0.6761946, 0.13769016, 0.0039154002, 1.5395191e-05, 4.0924657e-05, 4.7325266e-05, 4.3767113e-06]
GOLD TOK: 	 []
PRED TOK: 	 [['alleged', 'against']]
################################################################################
IN SEQ: 	 b"why can ' t they figure out why ?"
GOLD SEQ: 	 b"why can ' t they figure out why ?"
PRED SEQ:	 b"why can ' t they figure out why ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.33439904, 0.02693156, 0.0007588118, 0.010875714, 0.22792552, 0.07632165, 0.032170694, 0.09353816, 0.03228497]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"if bid ##en does not seek re - election in 202 ##4 , what does kamal ##a harris ' future look like in politics ?"
GOLD SEQ: 	 b"if bid ##en does not seek re - election in 202 ##4 , what does kamal ##a harris ' future look like in politics ?"
PRED SEQ:	 b"if bid ##en does not seek re - election in 202 ##4 , what does kamal ##a harris ' future look like in politics ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.046326816, 0.0015504225, 0.00074485684, 0.010997854, 0.009873752, 0.0076000043, 0.013332736, 0.004230109, 0.01387856, 0.00070298964, 0.014294755, 0.00055718765, 0.0035331836, 0.14212246, 0.10965786, 0.0033711994, 0.004819932, 0.000313868, 0.0060342117, 0.11332523, 0.09485478, 0.017136572, 0.0016192842, 0.057572477, 0.022411063]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you think that donald trump is talking about running for president in 202 ##4 simply to generate money from his fans ?'
GOLD SEQ: 	 b'do you think that donald trump is talking about running for president in 202 ##4 simply to generate money from his fans ?'
PRED SEQ:	 b'do you think that donald trump is talking about running for president in 202 ##4 simply to generate money from his fans ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.053789705, 0.14406139, 0.04568037, 0.00090961443, 0.00043535448, 5.168862e-05, 0.00077431893, 0.001260266, 3.68416e-05, 0.00055806513, 7.3176714e-05, 0.0013675569, 6.258797e-05, 0.0016466469, 8.584538e-05, 0.35586193, 0.00044424165, 0.0010000023, 0.0011346337, 4.2809355e-05, 0.041879717, 0.14550218, 0.0015716628]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'donald trump ##s standing among other billionaire ##s has plum ##met ##ed almost 300 places since 2020 , down to no 1 , 299 according to forbes .'
GOLD SEQ: 	 b'donald trump ##s standing among other billionaire ##s has plum ##met ##ed almost 300 places since 2020 , down to no 1 , 299 according to forbes .'
PRED SEQ:	 b'donald trump ##s standing among other billionaire ##s has almost 300 places since 2020 , down to no 1 , 299 according to forbes .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0481012e-05, 1.410208e-05, 1.174981e-05, 3.3496406e-05, 1.7647084e-06, 0.0001603804, 8.0186735e-05, 1.1353383e-05, 2.0045996e-05, 0.98820484, 0.99337053, 0.9920449, 0.000105544044, 3.992719e-06, 7.256333e-06, 4.030448e-06, 1.9239708e-06, 7.8912706e-07, 0.0001230707, 2.325412e-06, 0.002793881, 6.1697633e-06, 9.773138e-07, 3.0258461e-06, 4.8899155e-06, 9.809144e-07, 2.3221323e-06, 8.6476695e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'will he be able to recover ?'
GOLD SEQ: 	 b'will he be able to recover ?'
PRED SEQ:	 b'will be able to recover ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.30126786, 0.47858894, 0.13610353, 0.03260611, 0.00029729956, 0.15741415, 0.20608997]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who defeated trump in the november 2020 election , bid ##en or co ##vid - 19 ?'
GOLD SEQ: 	 b'who defeated trump in the november 2020 election , bid ##en or co ##vid - 19 ?'
PRED SEQ:	 b'who defeated trump in the november 2020 election , bid ##en or co ##vid - 19 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.043603968, 0.15838793, 0.0007996572, 4.307279e-06, 6.1092696e-06, 3.4577653e-05, 3.5666115e-05, 2.1765913e-05, 9.0792455e-06, 0.043343462, 0.047104727, 0.03240544, 0.108144514, 0.26196203, 0.23285069, 0.017347436, 0.2868369]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what do you expect to be the major long - term political ram ##ification ##s of the 2020 us census ?'
GOLD SEQ: 	 b'what do you expect to be the major long - term political ram ##ification ##s of the 2020 us census ?'
PRED SEQ:	 b'what do you expect to be the major long - term political ram ##ification ##s of the 2020 us census ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09953, 0.0013906744, 0.049304713, 0.03955929, 0.00045767528, 0.005032851, 0.020521073, 0.35106477, 0.03548122, 0.018772256, 0.0180176, 0.018314207, 0.059114233, 0.09810387, 0.038038723, 0.00032422683, 0.00046541978, 0.0037120464, 0.0033742771, 0.0025811053, 0.0102760475]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'did donald trump lose the 2020 election for the same reason that he won the 2016 election ?'
GOLD SEQ: 	 b'did donald trump lose the 2020 election for the same reason that he won the 2016 election ?'
PRED SEQ:	 b'did donald trump lose the 2020 election for the same reason that he won the 2016 election in ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3560068, 0.0009859989, 0.00025458058, 0.04561667, 0.00014981897, 0.0010572417, 0.0001323464, 0.001949404, 0.00031920086, 0.00053746335, 0.007955245, 0.00021322191, 0.0051736543, 0.0031606022, 5.4469467e-05, 0.00035386693, 0.00012845693, 0.42155942]
GOLD TOK: 	 []
PRED TOK: 	 [['in']]
################################################################################
IN SEQ: 	 b"what do you think of trump rev ##iving feud with arizona ' s duc ##ey over the 2020 vote count ?"
GOLD SEQ: 	 b"what do you think of trump rev ##iving feud with arizona ' s duc ##ey over the 2020 vote count ?"
PRED SEQ:	 b"what do you think of trump rev ##iving with arizona ' s duc ##ey over the 2020 vote count ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00020690978, 9.42869e-06, 6.3042615e-05, 5.2394273e-05, 8.020374e-06, 0.00014676986, 0.20326953, 0.2519262, 0.67949754, 9.444208e-05, 4.1525043e-05, 4.495211e-06, 8.918594e-06, 0.0043886495, 0.0047433553, 0.0001611584, 7.224012e-06, 0.0001660749, 5.0390213e-06, 8.784983e-06, 1.9816616e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you think that joe bid ##ens age might be a problem for his term as president of the us ?'
GOLD SEQ: 	 b'do you think that joe bid ##ens age might be a problem for his term as president of the us ?'
PRED SEQ:	 b'do you think that joe bid ##ens age might be a problem for his term as president of the us ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22724266, 0.3290729, 0.12961365, 0.0031722877, 0.0001836861, 0.00013789741, 0.00014456859, 0.15180726, 0.030320462, 0.0006992125, 0.00055428705, 0.061653063, 0.00040476868, 0.00464239, 0.00036686938, 1.4005314e-05, 0.00035958114, 1.511624e-05, 3.9584193e-05, 0.0038016902, 0.001873843]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'according to a cbs poll , only 18 % of republicans who voted for trump consider bid ##en the legitimate winner .'
GOLD SEQ: 	 b'according to a cbs poll , only 18 % of republicans who voted for trump consider bid ##en the legitimate winner .'
PRED SEQ:	 b'according to a cbs poll , 18 % of republicans who voted for trump consider bid ##en the legitimate winner .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.1164047e-05, 6.0389466e-06, 7.539672e-06, 1.042847e-05, 2.8606587e-06, 1.265558e-06, 0.7054437, 3.456612e-06, 1.9584181e-06, 1.2311893e-06, 0.00041999485, 6.922915e-06, 8.561095e-06, 4.66189e-06, 5.888921e-05, 0.000356167, 1.2034321e-05, 1.0756608e-05, 2.5408863e-05, 0.15983027, 4.7044174e-05, 1.5078542e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what are the 82 % thinking ?'
GOLD SEQ: 	 b'what are the 82 % thinking ?'
PRED SEQ:	 b'what they claim to be the 82 % thinking ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.18440108, 0.035888884, 0.019900342, 0.019142712, 0.01646721, 0.47450608, 0.16075897]
GOLD TOK: 	 []
PRED TOK: 	 [['they', 'claim', 'to', 'be']]
################################################################################
IN SEQ: 	 b'how many people believe the audit by the arizona go ##p - hired company , cyber ninja ##s , of the 2020 presidential election vote in mari ##co ##pa county , is not going to find huge errors or cheating that , once fixed , awards the state to trump ?'
GOLD SEQ: 	 b'how many people believe the audit by the arizona go ##p - hired company , cyber ninja ##s , of the 2020 presidential election vote in mari ##co ##pa county , is not going to find huge errors or cheating that , once fixed , awards the state to trump ?'
PRED SEQ:	 b'how many people believe the audit by the arizona go ##p - company , cyber ninja ##s , of the 2020 presidential election vote in mari ##co ##pa county , is not going to find huge errors or cheating that , once fixed , awards the state to trump ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03556256, 0.170953, 0.0013982533, 0.0013860037, 1.6697028e-05, 0.0006805709, 6.0895854e-06, 1.2267274e-05, 2.3932364e-05, 0.018574238, 0.0906283, 0.347722, 0.4983913, 0.00025214755, 3.2754842e-06, 5.230252e-05, 9.039117e-05, 2.0431013e-05, 3.4210655e-06, 1.983295e-05, 1.1106844e-05, 2.5119627e-05, 1.6601318e-05, 2.6436937e-05, 0.00025215282, 9.273354e-06, 1.7295419e-05, 7.370371e-06, 3.6444184e-05, 1.440742e-05, 3.2615694e-06, 0.00026811345, 0.00018689301, 0.00047127163, 9.267679e-06, 0.0012587461, 0.072316766, 0.00024900664, 0.0004603972, 0.041209042, 0.00010536756, 6.8235986e-06, 0.00029910545, 0.0067360755, 3.2155017e-06, 0.028826393, 9.53011e-06, 0.0063657053, 2.400954e-05, 0.0025241242, 0.00095543516]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"what is the opinion of those nr ##i / indians who were cheering for kamal ##a harris and bid ##en ' s win now ?"
GOLD SEQ: 	 b"what is the opinion of those nr ##i / indians who were cheering for kamal ##a harris and bid ##en ' s win now ?"
PRED SEQ:	 b"what is the opinion of those nr ##i / indians who were cheering for kamal ##a harris and bid ##en ' s win now ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10791528, 0.043564923, 0.011696029, 0.06612792, 0.00011492253, 0.118213676, 0.07821812, 0.03821406, 0.3425447, 0.17964733, 0.0029210837, 0.01499972, 0.07761255, 0.0006926599, 0.0019402336, 0.00087746995, 0.00028329584, 0.001155358, 0.00065741024, 8.825536e-05, 6.488434e-05, 0.00042089788, 0.15052295, 0.076248564, 0.012536052]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'would you support a trump / des ##ant ##is 202 ##4 ticket ?'
GOLD SEQ: 	 b'would you support a trump / des ##ant ##is 202 ##4 ticket ?'
PRED SEQ:	 b'would you support a trump ##is 202 ##4 ticket ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.036023628, 0.4170992, 0.037246622, 0.0016273925, 0.19181035, 0.46620914, 0.016491834, 0.017933244, 0.011085948, 0.002147786, 0.00019223685, 0.0033719523, 0.0022569422]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'does former president trump still harbor resentment towards fox news journalist chris wallace & nbc anchor savannah guthrie , for the imp ##art ##ial manner they each moderate ##d the two debates he had against then democratic nominee , now president joe bid ##en ?'
GOLD SEQ: 	 b'does former president trump still harbor resentment towards fox news journalist chris wallace & nbc anchor savannah guthrie , for the imp ##art ##ial manner they each moderate ##d the two debates he had against then democratic nominee , now president joe bid ##en ?'
PRED SEQ:	 b'does former president trump harbor resentment towards fox news journalist chris wallace & nbc anchor savannah guthrie , for the imp ##art ##ial manner they each moderate ##d the two debates he had against then democratic nominee , now president joe bid ##en ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0041830563, 0.0015905763, 0.0006501399, 8.627771e-05, 0.5482505, 0.02578007, 0.010240083, 3.3364162e-05, 6.8112518e-06, 3.8066185e-06, 0.001779582, 3.5307958e-06, 3.084525e-06, 5.7566664e-05, 6.680292e-05, 0.0011865435, 2.568815e-05, 5.829668e-06, 5.4364887e-06, 0.05649668, 0.03152665, 0.10006669, 0.030443743, 0.017632913, 0.00026625211, 3.6410143e-05, 6.6718305e-05, 0.001862578, 0.0011923619, 3.5296443e-06, 4.536368e-05, 2.807518e-05, 3.0036854e-05, 4.895367e-05, 0.0005079754, 0.00010682897, 0.0008366682, 0.000259052, 7.848589e-06, 0.022668423, 0.0020857847, 4.6061105e-06, 5.3514646e-06, 5.2621413e-06, 0.0025634225]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how did jewish people divide their overall votes between bid ##en and trump in 2020 ?'
GOLD SEQ: 	 b'how did jewish people divide their overall votes between bid ##en and trump in 2020 ?'
PRED SEQ:	 b'how did jewish people divide their overall votes between bid ##en and trump in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03316986, 0.014476274, 0.4725201, 0.19846322, 0.00081555056, 0.00059165846, 0.0058599804, 0.000111231835, 9.5317424e-05, 0.0035451571, 0.0005655462, 7.03278e-05, 0.010830509, 0.0004084773, 0.0063176146, 0.008168965]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what kind of voter irregularities were discovered in the 2020 election ?'
GOLD SEQ: 	 b'what kind of voter irregularities were discovered in the 2020 election ?'
PRED SEQ:	 b'what kind of voter irregularities were discovered in the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.030900246, 0.07557486, 0.00047029444, 0.009908724, 0.11658157, 0.09574258, 0.56579995, 0.00044813848, 0.00054447685, 0.006384959, 0.00216464, 0.0065503675]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who do you fear more as the next possible president , donald trump or kamal ##a harris ?'
GOLD SEQ: 	 b'who do you fear more as the next possible president , donald trump or kamal ##a harris ?'
PRED SEQ:	 b'who do you fear more as the next president , donald trump or kamal ##a harris ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0111805145, 0.00057641283, 0.026143232, 0.29233667, 0.22320981, 0.0052519115, 0.00016893957, 0.01725483, 0.21920247, 0.035887703, 0.00013420703, 0.0042048944, 0.00037156566, 0.005327536, 0.002440051, 0.0018061573, 0.00028382897, 0.00071439386]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'did kamal ##a harris tell bid ##en you will do whatever the chinese tell you during the dem debate ?'
GOLD SEQ: 	 b'did kamal ##a harris tell bid ##en you will do whatever the chinese tell you during the dem debate ?'
PRED SEQ:	 b'did kamal ##a harris tell bid ##en you will do whatever the chinese tell you during the debate ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10566067, 0.0023992064, 0.0015874156, 0.00048862176, 0.016289026, 0.0020150074, 0.0005444462, 0.060922157, 0.017583668, 0.0003374905, 0.0035466028, 0.012892013, 0.16907783, 0.0033731724, 0.02041282, 0.0006537638, 8.5147345e-05, 0.4468039, 0.011675582, 0.0067363307]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in your opinion , was the 2020 presidential election outcome won by fraud ?'
GOLD SEQ: 	 b'in your opinion , was the 2020 presidential election outcome won by fraud ?'
PRED SEQ:	 b'in one of the opinion , was the 2020 presidential election outcome won by fraud ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00095570093, 0.7538344, 0.00460335, 1.0280352e-05, 0.00012033287, 1.768106e-05, 0.00010094052, 3.5379187e-05, 1.9594288e-05, 0.0065626637, 0.030194122, 0.0012772816, 0.13555786, 0.00013841012]
GOLD TOK: 	 []
PRED TOK: 	 [['one', 'of', 'the']]
################################################################################
IN SEQ: 	 b'has there been any change induced in american parent ##hood since 2020 ?'
GOLD SEQ: 	 b'has there been any change induced in american parent ##hood since 2020 ?'
PRED SEQ:	 b'has there been any change in american parent ##hood since 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
